Name Wetland,ID,Area (km2),Type of wetland,Species richness,Species normalized,lat,lon,,,,,
Agia Semni reservoir 2,GR431KRI242,0.001,Inland,1,1000,35.13253,25.24631,,,,,
Ini dam lake,GR431KRI243,0.2342,Inland,5,21.34927412,35.09566,25.27524,,,,,
Anapodaris artificial pool 4,GR431KRI245,0.0043,Inland,4,930.2325581,35.05184,25.27085,,,,,
Anapodaris artificial pools 3,GR431KRI246,0.0394,Inland,7,177.6649746,35.0538,25.26435,,,,,
Anapodaris artificial pool 2,GR431KRI247,0.003,Inland,4,1333.333333,35.05851,25.26049,,,,,
Anapodaris artificial pool 1,GR431KRI248,0.0021,Inland,8,3809.52381,35.05875,25.25851,,,,,
Ini old dam,GR431KRI250,0.0057,Inland,8,1403.508772,35.09288,25.28865,,,,,
Anapodaris artificial pool 5,GR431KRI273,0.0019,Inland,2,1052.631579,35.04873,25.27311,,,,,
Kastellos reservoir 1,GR431KRI274,0.0023,Inland,1,434.7826087,35.04617,25.26902,,,,,
Kastellos reservoir 2,GR431KRI275,0.0018,Inland,1,555.5555556,35.04723,25.26866,,,,,
Viannos wastewater treatment swamp,GR431KRI276,0.0122,Inland,2,163.9344262,35.04636,25.39918,,,,,
Reservoir,GR431KRI278,0.0035,Inland,1,285.7142857,35.1958,25.15102,,,,,
Reservoir,GR431KRI279,0.0022,Inland,1,454.5454545,35.17788,25.16673,,,,,
Reservoir,GR431KRI286,0.001,Inland,1,1000,35.20194,25.07815,,,,,
Reservoir,GR431KRI288,0.0028,Inland,1,357.1428571,35.11309,25.15863,,,,,
Reservoir,GR431KRI290,0.0014,Inland,1,714.2857143,35.20205,25.07885,,,,,
Tefeli reservoir 1,GR431KRI291,0.0014,Inland,2,1428.571429,35.09625,25.16511,,,,,
Metaxochori artificial pools,GR431KRI292,0.0049,Inland,2,408.1632653,35.13396,25.13789,,,,,
Reservoir,GR431KRI303,0.0015,Inland,1,666.6666667,35.19441,25.10905,,,,,
Episkopi wastewater treatment swamp,GR431KRI304,0.0122,Inland,1,81.96721311,35.26009,25.24917,,,,,
Asimi wastewater treatment swamp,GR431KRI305,0.0074,Inland,1,135.1351351,35.03081,25.08478,,,,,
Reservoir,GR431KRI308,0.0026,Inland,1,384.6153846,35.16584,25.10268,,,,,
Reservoir,GR431KRI310,0.0038,Inland,1,263.1578947,35.16897,25.12559,,,,,
Tou Tourkou o Lakkos,GR431KRI311,0.0072,Inland,1,138.8888889,34.97993,25.24189,,,,,
Armanogeia dam lake,GR431KRI314,0.1002,Inland,3,29.94011976,35.12025,25.15954,,,,,
Tefeli reservoir 2,GR431KRI316,0.0019,Inland,2,1052.631579,35.10292,25.1562,,,,,
Plakiotissa dam lake,GR431KRI321,0.156,Inland,7,44.87179487,35.06721,25.14384,,,,,
Halavrianos dam lake,GR431KRI323,0.13,Inland,8,61.53846154,35.19224,25.14495,,,,,
Reservoir,GR431KRI339,0.0054,Inland,1,185.1851852,35.02853,25.22922,,,,,
Pyrgioliki of Ziros,GR432KRI015,0.0038,Inland,7,1842.105263,35.07218,26.13775,,,,,
Kalovitis reservoir 1,GR432KRI031,0.0022,Inland,1,454.5454545,35.05364,25.91226,,,,,
Oreino dam lake,GR432KRI033,0.007,Inland,2,285.7142857,35.0653,25.90673,,,,,
Rontiria dam,GR432KRI043,0.0188,Inland,7,372.3404255,35.0177,25.77629,,,,,
