Name Wetland,ID,Area (km2),Type of wetland,Species richness,Species normalized,lat,lon,SatAreaFrac,SatAreaFrac_20,SatAreaFrac_40,SatAreaFrac_60
Agioi Apostoloi artificial pool,GR411LES090,0.0091,Inland,6.0,659.3406593,39.21211,26.17973,0.6708699464797974,0.5744194984436035,0.6285510659217834,0.7047759294509888
Agioi Apostoloi pond,GR411LES091,0.0091,Inland,2.0,219.7802198,39.21675,26.18064,0.6708699464797974,0.5744194984436035,0.6285510659217834,0.7047759294509888
Polychnitos hot springs,GR411LES094,0.0401,Inland,6.0,149.6259352,39.07329,26.19993,0.23112942278385162,0.0053842808119952,0.0536721982061862,0.233930304646492
Mantamados artificial ponds,GR411LES104,0.0058,Inland,6.0,1034.482759,39.30474,26.33928,0.6394683122634888,0.5334792137145996,0.5858176350593567,0.6717355251312256
Vathes dam lake (Mounte),GR412IKA005,0.0178,Inland,8.0,449.4382022,37.59926,26.10156,0.5784499049186707,0.4650465548038482,0.5162580013275146,0.614436149597168
Pezi dam lake,GR412IKA006,0.1101,Inland,6.0,54.49591281,37.57015,26.05739,0.49570417404174805,0.3887338042259216,0.4276849031448364,0.5190402865409851
Mytilinioi reservoir (Roggia),GR412SAM005,0.0254,Inland,3.0,118.1102362,37.74058,26.89602,0.4982896149158478,0.3405509889125824,0.3948100805282593,0.5419186353683472
Marathokampos reservoir,GR412SAM006,0.0412,Inland,3.0,72.81553398,37.71826,26.71108,0.45451730489730835,0.2448985278606414,0.3303967714309692,0.5240451693534851
Nerotrouvias reservoir,GR412SAM007,0.0041,Inland,2.0,487.804878,37.69409,26.85288,0.4982896149158478,0.3405509889125824,0.3948100805282593,0.5419186353683472
Viki reservoir,GR413CHI007,0.0271,Inland,1.0,36.900369,38.58286,26.02283,0.3889003396034241,0.2521394789218902,0.300326943397522,0.4081313908100128
Zyfia dam lake,GR413CHI009,0.0595,Inland,7.0,117.6470588,38.31983,26.07684,0.16761909425258636,0.0045224111527204,0.0340376272797584,0.1687171906232834
Armolia dam lake,GR413CHI012,0.0079,Inland,2.0,253.164557,38.25467,26.03336,0.16761909425258636,0.0045224111527204,0.0340376272797584,0.1687171906232834
Kalamoti dam lake,GR413CHI027,0.164,Inland,1.0,6.097560976,38.24917,26.05193,0.4195171594619751,0.3000458478927612,0.3374142944812774,0.4361126124858856
Kakos Potamos dam lake (Psaropetra),GR413CHI028,0.009,Inland,1.0,111.1111111,38.36499,26.10274,0.38901272416114807,0.2263958156108856,0.3022375106811523,0.4252348244190216
Kofina reservoir,GR413CHI030,0.0114,Inland,1.0,87.71929825,38.37804,26.11251,0.38901272416114807,0.2263958156108856,0.3022375106811523,0.4252348244190216
Oinousses reservoir,GR413OIN002,0.0096,Inland,1.0,104.1666667,38.51923,26.22135,0.24792072176933289,0.0074409837834537,0.0887907966971397,0.2694812417030334
Neromana or Pyli lake,GR421KOS002,0.003,Inland,4.0,1333.333333,36.86449,27.15932,,,,
Messaria reservoir,GR421KOS013,0.0323,Inland,3.0,92.87925697,36.86969,27.22469,0.4305250942707062,0.2667140364646911,0.3334178328514099,0.4657567739486694
Avdelolimni,GR421KOS014,0.0034,Inland,2.0,588.2352941,36.85602,27.31092,0.42236974835395813,0.2887274324893951,0.333527535200119,0.4423912167549133
Partheni dam lake,GR421LER003,0.15,Inland,1.0,6.666666667,37.17619,26.80842,0.37118029594421387,0.1643735915422439,0.2349338084459304,0.3965353667736053
Nanoi lake,GR421ROD001,0.0176,Inland,4.0,227.2727273,36.26375,27.89112,0.15024758875370026,0.0040769996121525,0.0136071573942899,0.11532624065876
Apolakkia dam lake,GR421ROD002,0.5412,Inland,3.0,5.543237251,36.11005,27.79663,0.2938912808895111,0.079331561923027,0.1872998774051666,0.3320316076278686
Atsaka dam lake 1,GR421ROD004,0.0041,Inland,2.0,487.804878,36.19295,28.02162,0.38837161660194397,0.2692660391330719,0.2962338328361511,0.4021032452583313
Atsakas dam lake 2,GR421ROD010,0.0059,Inland,2.0,338.9830508,36.19166,28.02019,0.38837161660194397,0.2692660391330719,0.2962338328361511,0.4021032452583313
Petaloudes stream,GR421ROD016,0.0484,Inland,4.0,82.6446281,36.33927,28.05959,0.4834800064563751,0.3667351007461548,0.410759299993515,0.5149720311164856
