Name Wetland,ID,Area (km2),Type of wetland,Species richness,Species normalized,lat,lon
TAILING POND ABANDONED MINERAL ENRICHMENT PLANT HCM MITSERO No.1,CY000NIC052,0.0628097,Inland,3,47.76332318,35.06771,33.12922
ACHERA RESERVOIR (AGROKIPIA),CY000NIC053,0.0577467,Inland,4,69.26802744,35.06654,33.14268
HADJIKYRIAKOU PIG FARM LAKE- KATO MONI,CY000NIC056,0.0221641,Inland,1,45.11800615,35.05272,33.09089
MEMI ABANDONED MINE LAKE,CY000NIC058,0.0540432,Inland,3,55.51114664,35.03763,33.03824
VYZAKIA RESERVOIR,CY000NIC059,0.1603822,Inland,6,37.41063534,35.06145,33.02988
PANO KOUTRAFAS OFF- STREAM POND,CY000NIC060,0.0091773,Inland,5,544.8225513,35.09568,32.99066
PETRA RIVER RECHARGE BARRIER KATO DIMMA,CY000NIC062,0.0006805,Inland,6,8817.046289,35.07782,32.92441
FOUKASA MINE LAKE,CY000NIC071,0.0236683,Inland,4,169.002421,35.09581,32.89211
APLIKI MINE LAKE,CY000NIC076,0.0125421,Inland,1,79.73146443,35.07459,32.8433
LEFKA (MARATHASA) RESERVOIR,CY000NIC077,0.0376414,Inland,7,185.9654529,35.06407,32.83741
KAFIZIS RESERVOIR,CY000NIC078,0.0173384,Inland,6,346.0526923,35.04847,32.78801
TSAKISTRA RESERVOIR,CY000NIC079,0.0159417,Inland,8,501.8285377,35.02249,32.70296
PYRGOS TILLIRIAS RESERVOIR,CY000NIC080,0.0281356,Inland,3,106.6264803,35.14832,32.65504
PACHYAMMOS IRRIGATION TANK,CY000NIC081,0.0099932,Inland,1,100.0680463,35.16678,32.58621
LEFKA RESERVOIR,CY000NIC083,0.3711107,Inland,5,13.47306882,35.10529,32.83131
LEFKA ABANDONED QUARRY LAKE,CY000NIC085,0.0165891,Inland,11,663.0860023,35.10323,32.84327
MAVROVOUNI-LEFKA ABANDONED QUARRY LAKE,CY000NIC086,0.0206882,Inland,4,193.3469321,35.09973,32.84259
AGIA EIRINI-KAPOUTI RESERVOI,CY000NIC097,0.301282,Inland,2,6.638299002,35.25655,32.98697
OVGOS RESERVOIR,CY000NIC099,0.1561069,Inland,5,32.02933375,35.21637,33.03912
SERRACHIS RIVER EXCAVATION PONDS No.1,CY000NIC101,0.0324949,Inland,8,246.1924794,35.18013,33.07328
KANLI (KANLIKIOGIOU) RESERVOIR,CY000NIC103,0.3971753,Inland,7,17.62445953,35.24164,33.2588
KIONELI RESERVOIR,CY000NIC104,0.2808642,Inland,6,21.36263717,35.23576,33.3026
PEDIAIOS REED BED ORTAKIOI,CY000NIC105,0.0696357,Inland,4,57.44180069,35.2135,33.32622
PEDIAIOS REED BED TRACHONAS,CY000NIC106,0.032977,Inland,4,121.2966613,35.20808,33.35355
MANDRES RESERVOIR,CY000NIC108,0.0999928,Inland,7,70.00504036,35.23815,33.36281
GIALIAS RIVER RECHARGE WIER - LYTHRODONTAS,CY000NIC109,0.0052216,Inland,10,1915.121802,34.97156,33.28554
MATHIATIS RECHARGE WIER No.1,CY000NIC113,0.0160707,Inland,7,435.5753016,34.97795,33.33166
