Name Wetland,ID,Area (km2),Type of wetland,Species richness,Species normalized,lat,lon,,,,,
Retenue de Teppe Rosse,FR835COR077,0.731,Inland,9,12.3119015,42.105858,9.458108,,,,,
Retenue d'Alzitone,FR835COR086,0.475,Inland,3,6.315789474,42.071052,9.421591,,,,,
Aulnaie d'Erba Rossa,FR835COR087,2.02,Inland,10,4.95049505,42.018865,9.43729,,,,,
Bassins de carrière de Torrichia,FR835COR090,0.022,Inland,15,681.8181818,42.010949,9.386647,,,,,
Tourbières de Moltifao,FR835COR402,1.538,Inland,17,11.05331599,42.47981,9.16972,,,,,
Retenue de Ponte Leccia,FR835COR403,0.03,Inland,2,66.66666667,42.472573,9.216806,,,,,
Etang de Pontano,FR835COR404,0.002,Inland,12,6000,42.486921,9.252606,,,,,
Etang de Chiostrone,FR835COR405,0.005,Inland,2,400,42.434019,9.177516,,,,,
Prairies humides de Stagnu,FR835COR407,0.002,Inland,7,3500,42.398055,8.913956,,,,,
Prairie humide de Radule,FR835COR413,0.004,Inland,11,2750,42.298527,8.874788,,,,,
Lac de barrage de Calacuccia,FR835COR414,1.284,Inland,1,0.778816199,42.326448,9.010874,,,,,
Lac de Levina,FR835COR417,0.005,Inland,2,400,42.330779,9.258407,,,,,
Prairies humides de Terba,FR835COR418,0.008,Inland,2,250,42.320915,9.279802,,,,,
Mare de Muche,FR835COR419,0.001,Inland,3,3000,42.304235,9.385043,,,,,
Lac de barrage d'Alésani,FR835COR420,0.457,Inland,1,2.188183807,42.299043,9.474801,,,,,
Lac de Lavigliolu,FR835COR421,0.002,Inland,1,500,42.26809,8.957241,,,,,
Lac de Nino,FR835COR422,0.291,Inland,57,195.8762887,42.25445,8.941869,,,,,
Lac de Sorbi,FR835COR432,0.004,Inland,1,250,42.216665,8.994931,,,,,
Lac de Goria,FR835COR433,0.046,Inland,4,86.95652174,42.222435,9.004982,,,,,
Lac de Capitello,FR835COR434,0.056,Inland,6,107.1428571,42.212394,9.011994,,,,,
Lac de Melo,FR835COR435,0.064,Inland,9,140.625,42.213028,9.02258,,,,,
Prairie humide de Melo,FR835COR436,0.011,Inland,8,727.2727273,42.213127,9.019373,,,,,
Pozzi di Melo,FR835COR437,0.01,Inland,2,200,42.208927,9.020716,,,,,
Lac de Soglia,FR835COR438,0.004,Inland,2,500,42.208713,9.02244,,,,,
Grand lac de Rinoso,FR835COR439,0.011,Inland,7,636.3636364,42.210147,9.031842,,,,,
Petit lac de Rinoso,FR835COR440,0.004,Inland,7,1750,42.20948,9.035248,,,,,
Lac de Cavacciole,FR835COR441,0.007,Inland,2,285.7142857,42.218974,9.041666,,,,,
Lac de Scapuccioli,FR835COR442,0.005,Inland,8,1600,42.213761,9.047723,,,,,
Lac de Galiera,FR835COR443,0.002,Inland,1,500,42.218967,9.054962,,,,,
Lac de l'Oriente,FR835COR444,0.044,Inland,4,90.90909091,42.226861,9.058573,,,,,
Lac de Pozzolo,FR835COR445,0.003,Inland,2,666.6666667,42.214765,9.062892,,,,,
Lac de Bettaniella,FR835COR447,0.082,Inland,3,36.58536585,42.211168,9.054714,,,,,
Etang de Gialicatapiano,FR835COR451,0.012,Inland,5,416.6666667,42.180394,9.058016,,,,,
Petit lac d'Oro,FR835COR452,0.003,Inland,11,3666.666667,42.147814,9.096191,,,,,
Grand lac d'Oro,FR835COR453,0.011,Inland,1,90.90909091,42.140813,9.094086,,,,,
Retenue de Cardiccia,FR835COR455,0.015,Inland,2,133.3333333,42.203992,9.34973,,,,,
Réserve de Pinello,FR835COR456,0.001,Inland,3,3000,42.164807,9.400891,,,,,
Lac de barrage de Trévadine,FR835COR458,0.049,Inland,6,122.4489796,42.092668,9.315919,,,,,
Prairies humides de Capanelle,FR835COR462,0.032,Inland,4,125,42.072315,9.140786,,,,,
Lac de Bastani,FR835COR463,0.047,Inland,16,340.4255319,42.065721,9.134159,,,,,
Prairie humide de Bastani,FR835COR464,0.005,Inland,4,800,42.066833,9.131981,,,,,
Lac de Nielluccio,FR835COR465,0.016,Inland,2,125,42.061598,9.141062,,,,,
Lac de Rina Sottano,FR835COR466,0.016,Inland,2,125,42.045376,9.159105,,,,,
Lac de Rina Soprano,FR835COR467,0.027,Inland,2,74.07407407,42.043963,9.151718,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
